stnnbr,oxygen,ctdoxy,latitude,longitude,ctdtmp,ctdsal,ctdprs,date,cruise
1,264.138,NA,41.3102,-70.5345,14.6078,31.7275,14.135,2018-06-25,ECOA2
1,262.259,267,41.3103,-70.5348,15.3999,31.6497,10.59,2018-06-25,ECOA2
1,267.5615596,268.4,41.3105,-70.5352,15.814,31.6316,2.736,2018-06-25,ECOA2
2,290.268,288.6,41.0063,-70.4018,9.466,32.3456,37.288,2018-06-25,ECOA2
2,293.6215,294.8,41.0069,-70.402,9.9357,32.2662,29.868,2018-06-25,ECOA2
2,290.981,290.4,41.0075,-70.4022,10.5378,32.1348,16.188,2018-06-25,ECOA2
2,312.6645,311.3,41.008,-70.4024,12.0972,32.2179,9.555,2018-06-25,ECOA2
2,316.86,300.2,41.0085,-70.4027,13.8305,32.2462,3.255,2018-06-25,ECOA2
3,279.373,276.4,40.7633,-70.3158,9.073,32.5543,44.225,2018-06-26,ECOA2
3,279.441,275.2,40.7633,-70.3158,9.075,32.5542,43.951,2018-06-26,ECOA2
3,289.787,295.7,40.7643,-70.316,9.6978,32.4645,22.19,2018-06-26,ECOA2
3,307.214,309.1,40.7647,-70.316,11.5478,32.3014,15.559,2018-06-26,ECOA2
3,301.455,297.1,40.7652,-70.316,13.6194,32.2964,4.213,2018-06-26,ECOA2
4,266.032,265.3,40.5173,-70.2387,9.357,33.0759,59.61,2018-06-26,ECOA2
4,275.5115,275.8,40.5178,-70.239,8.9697,32.6246,30.425,2018-06-26,ECOA2
4,289.442,292,40.5183,-70.2393,9.1644,32.3683,14.155,2018-06-26,ECOA2
4,297.8428931,NA,40.5185,-70.2395,11.2472,32.3682,10.343,2018-06-26,ECOA2
4,295.446,NA,40.5187,-70.2397,13.4612,32.4873,2.983,2018-06-26,ECOA2
5,219.612,219.1,40.147,-70.099,11.6297,35.072,114.155,2018-06-26,ECOA2
5,235.463,236.8,40.147,-70.0992,10.9513,34.5669,100.133,2018-06-26,ECOA2
5,266.247,266.2,40.147,-70.0995,8.5162,33.3057,49.905,2018-06-26,ECOA2
5,299.887,NA,40.147,-70.0998,11.2978,33.2579,20.56,2018-06-26,ECOA2
5,272.6275,267,40.1472,-70.0998,16.1423,33.6531,11.062,2018-06-26,ECOA2
5,254.839,254.2,40.1472,-70.1,17.9371,33.7742,3.369,2018-06-26,ECOA2
6,210.43,210.5,39.928,-70.0048,5.9373,35.0639,467.189,2018-06-26,ECOA2
6,155.0715,153.1,39.9288,-70.0057,8.3926,35.1735,302.734,2018-06-26,ECOA2
6,141.109,140.5,39.929,-70.0058,9.829,35.28,251.875,2018-06-26,ECOA2
6,175.917,177.4,39.929,-70.006,12.0245,35.4954,201.616,2018-06-26,ECOA2
6,224.227,224.3,39.929,-70.006,13.0486,35.568,150.981,2018-06-26,ECOA2
