stnnbr,oxygen,ctdoxy,latitude,longitude,ctdtmp,ctdsal,ctdprs,date,cruise
NA,NA,272,41.105,-70.6183,15.042,32.2633,3,2013-06-09,Gunter
NA,NA,278,41.105,-70.6183,12.4814,32.327,21.4,2013-06-09,Gunter
NA,NA,258,41.105,-70.6183,10.0036,32.5436,39.3,2013-06-09,Gunter
NA,NA,274,40.6683,-70.6133,15.1961,32.8131,2.5,2013-06-10,Gunter
NA,NA,298,40.6683,-70.6133,10.8419,32.9811,31,2013-06-10,Gunter
NA,NA,254,40.6683,-70.6133,9.7719,33.5445,56.3,2013-06-10,Gunter
NA,NA,246,39.8317,-70.6217,18.1054,34.7418,2.6,2013-06-10,Gunter
NA,NA,217,39.8317,-70.6217,13.4761,35.7263,148.3,2013-06-10,Gunter
NA,NA,133,39.8317,-70.6217,10.5647,35.3399,299,2013-06-10,Gunter
NA,NA,272,40.0367,-70.6,14.9771,33.1515,4.1,2013-06-10,Gunter
NA,NA,233,40.0367,-70.6,13.3132,35.2555,80.2,2013-06-10,Gunter
NA,NA,160,40.0367,-70.6,11.6082,35.503,166,2013-06-10,Gunter
NA,NA,298,40.8967,-69.1583,9.8037,32.5428,3,2013-06-11,Gunter
NA,NA,244,40.2383,-67.6917,17.8265,34.3879,4.2,2013-06-12,Gunter
NA,NA,135,40.2383,-67.6917,10.6014,35.3442,259.4,2013-06-12,Gunter
NA,NA,197,40.2383,-67.6917,6.4296,35.0598,470,2013-06-12,Gunter
NA,NA,304,40.3817,-67.6917,12.0165,33.0361,4.5,2013-06-12,Gunter
NA,NA,207,40.3817,-67.6917,11.5633,35.0293,99.9,2013-06-12,Gunter
NA,NA,165,40.3817,-67.6917,10.8558,35.3357,233,2013-06-12,Gunter
NA,NA,292,40.9283,-67.7163,11.999,32.968,5,2013-06-13,Gunter
NA,NA,283,40.9283,-67.715,10.8922,32.9637,30,2013-06-13,Gunter
NA,NA,291,40.9283,-67.715,9.4614,32.9414,60,2013-06-13,Gunter
NA,NA,280,43.7717,-68.6683,6.7766,32.2019,59.9,2013-06-14,Gunter
NA,NA,263,43.7717,-68.6683,6.6745,32.5207,119.4,2013-06-14,Gunter
NA,NA,298,44.2,-67.7,9.1091,32.326,3.4,2013-06-14,Gunter
NA,NA,227,44.2,-67.7,7.1571,33.2732,151,2013-06-14,Gunter
NA,NA,288,44.485,-67.225,7.7484,31.9108,3.2,2013-06-14,Gunter
NA,NA,287,44.485,-67.225,7.5842,31.9387,29.8,2013-06-14,Gunter
NA,NA,286,44.485,-67.225,7.5893,31.953,61.2,2013-06-14,Gunter
