stnnbr,oxygen,ctdoxy,latitude,longitude,ctdtmp,ctdsal,ctdprs,date,cruise
P28,163.16,151.856,47.7023,-122.452,11.9184,30.649,193.076,2017-09-18T00:00:00Z,WCOA 2017
P28,161.84,156.367,47.7022,-122.4516,12.1576,30.4664,100.718,2017-09-18T00:00:00Z,WCOA 2017
P28,164.55,157.229,47.7022,-122.4515,12.3154,30.3518,74.977,2017-09-18T00:00:00Z,WCOA 2017
P28,163.88,162.046,47.702,-122.4513,12.6592,30.1312,50.157,2017-09-18T00:00:00Z,WCOA 2017
P28,177.63,173.14,47.702,-122.4513,12.9448,30.0077,29.469,2017-09-18T00:00:00Z,WCOA 2017
P28,202.78,195.275,47.7018,-122.4512,13.2781,29.923,9.599,2017-09-18T00:00:00Z,WCOA 2017
P28,201.22,197.415,47.7018,-122.4512,13.3067,29.9184,4.873,2017-09-18T00:00:00Z,WCOA 2017
P28,217.06,197.063,47.7017,-122.451,13.3071,29.9196,2.688,2017-09-18T00:00:00Z,WCOA 2017
P6,168.98,161.043,47.9274,-122.4655,11.7756,30.7052,96.582,2017-09-18T00:00:00Z,WCOA 2017
P6,169.69,162.984,47.9275,-122.4653,11.866,30.6475,75.637,2017-09-18T00:00:00Z,WCOA 2017
P6,175.36,169.471,47.9277,-122.465,12.2737,30.3976,50.798,2017-09-18T00:00:00Z,WCOA 2017
P6,181.34,175.856,47.9277,-122.4647,12.5029,30.2362,30.705,2017-09-18T00:00:00Z,WCOA 2017
P6,185.56,180.26,47.9278,-122.4645,12.7937,30.0982,10.277,2017-09-18T00:00:00Z,WCOA 2017
P6,189.22,179.82,47.928,-122.4643,12.7809,30.1117,5.014,2017-09-18T00:00:00Z,WCOA 2017
P6,200.66,193.102,47.928,-122.4642,13.0429,29.9408,2.273,2017-09-18T00:00:00Z,WCOA 2017
P21,110.64,103.146,48.1857,-122.8585,9.0456,32.73,57.251,2017-09-19T00:00:00Z,WCOA 2017
P21,115.29,109.986,48.1858,-122.8595,9.2731,32.5527,51.725,2017-09-19T00:00:00Z,WCOA 2017
P21,134.23,138.572,48.186,-122.8603,10.5492,31.5486,29.646,2017-09-19T00:00:00Z,WCOA 2017
P21,155.11,159.362,48.1862,-122.8612,11.0575,30.531,10.208,2017-09-19T00:00:00Z,WCOA 2017
P21,161.82,159.221,48.1863,-122.8618,10.988,30.6234,5.54,2017-09-19T00:00:00Z,WCOA 2017
P21,163.97,157.446,48.1865,-122.862,11.0763,30.5424,3.5,2017-09-19T00:00:00Z,WCOA 2017
P136,63.98,60.846,48.2267,-123.5045,7.7149,33.7385,171.313,2017-09-19T00:00:00Z,WCOA 2017
P136,73.55,71.798,48.2263,-123.5053,7.9567,33.5948,102.397,2017-09-19T00:00:00Z,WCOA 2017
P136,80.9,80.351,48.2262,-123.5058,8.2057,33.3697,76.063,2017-09-19T00:00:00Z,WCOA 2017
P136,109.66,108.427,48.226,-123.506,9.2919,32.4672,50.875,2017-09-19T00:00:00Z,WCOA 2017
