 station cast   lat    long    jday   mo/da/yr   gmt
   7      1   27.012 -80.055   258    09/15/21  0457 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.812   29.811   35.449    0.006    0.993   192.559
    2   29.812   29.811   35.449    0.011    1.987   192.585
    3   29.812   29.811   35.449    0.017    2.980   192.612
    4   29.812   29.811   35.449    0.023    3.974   192.638
    5   29.812   29.810   35.448    0.028    4.967   192.664
    6   29.812   29.810   35.448    0.034    5.960   192.862
    7   29.812   29.810   35.448    0.040    6.954   192.773
    8   29.812   29.810   35.448    0.046    7.947   192.843
    9   29.812   29.810   35.448    0.051    8.941   192.873
   10   29.813   29.810   35.448    0.057    9.934   192.382
   11   29.812   29.809   35.448    0.063    10.927   192.652
   12   29.811   29.808   35.448    0.068    11.921   192.756
   13   29.810   29.807   35.448    0.074    12.914   192.825
   14   29.808   29.805   35.448    0.080    13.907   193.128
   15   29.793   29.790   35.448    0.085    14.901   192.872
   16   29.778   29.774   35.449    0.091    15.894   192.540
   17   29.763   29.759   35.449    0.097    16.888   192.634
   18   29.765   29.760   35.449    0.102    17.881   192.842
   19   29.766   29.761   35.449    0.108    18.874   192.551
   20   29.767   29.762   35.449    0.114    19.868   192.590
   21   29.768   29.763   35.449    0.119    20.861   192.327
   22   29.754   29.748   35.451    0.125    21.854   192.567
   23   29.740   29.734   35.452    0.131    22.847   192.343
   24   29.704   29.699   35.458    0.137    23.841   192.256
   25   29.668   29.662   35.468    0.142    24.834   192.733
   26   29.041   29.035   35.660    0.147    25.827   192.428
   27   28.414   28.408   35.854    0.152    26.821   192.098
   28   27.787   27.780   36.052    0.157    27.814   191.745
