 station cast   lat    long    jday   mo/da/yr   gmt
  59      1   28.664 -94.938   272    09/29/21  1135 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   27.739   27.739   31.757    0.008    0.993   196.656
    2   27.739   27.739   31.756    0.015    1.987   196.683
    3   27.739   27.739   31.756    0.023    2.980   196.710
    4   27.739   27.738   31.756    0.031    3.973   196.737
    5   27.739   27.738   31.756    0.038    4.966   196.513
    6   27.764   27.763   31.779    0.046    5.960   196.729
    7   27.765   27.763   31.779    0.054    6.953   196.718
    8   27.765   27.763   31.779    0.062    7.946   196.745
    9   27.765   27.763   31.778    0.069    8.939   196.892
   10   27.766   27.763   31.778    0.077    9.933   196.856
   11   27.777   27.774   31.788    0.085    10.926   196.501
   12   27.775   27.772   31.786    0.092    11.919   196.413
   13   27.775   27.772   31.786    0.100    12.912   196.700
   14   27.777   27.774   31.787    0.108    13.906   196.176
   15   27.779   27.775   31.790    0.115    14.899   196.332
   16   27.792   27.788   31.805    0.123    15.892   196.509
   17   27.800   27.796   31.815    0.131    16.885   196.240
   18   27.800   27.796   31.817    0.138    17.879   196.106
   19   27.798   27.794   31.817    0.146    18.872   196.164
   20   27.797   27.792   31.817    0.154    19.865   196.222
   21   27.795   27.790   31.816    0.161    20.858   196.281
   22   27.800   27.795   31.824    0.169    21.851   195.990
