 station cast   lat    long    jday   mo/da/yr   gmt
 114      1   22.073 -86.927   288    10/15/21  1420 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.480   28.480   36.260    0.005    0.994   192.659
    2   28.480   28.480   36.260    0.009    1.988   192.685
    3   28.480   28.480   36.260    0.014    2.981   192.711
    4   28.480   28.479   36.259    0.019    3.975   192.738
    5   28.480   28.479   36.259    0.023    4.969   192.676
    6   28.468   28.467   36.260    0.028    5.963   192.743
    7   28.465   28.463   36.263    0.033    6.956   193.111
    8   28.462   28.460   36.265    0.037    7.950   193.178
    9   28.455   28.453   36.268    0.042    8.944   192.996
   10   28.435   28.432   36.268    0.047    9.937   192.852
   11   28.418   28.416   36.275    0.051    10.931   192.815
   12   28.383   28.380   36.281    0.056    11.925   192.807
   13   28.310   28.307   36.284    0.061    12.919   192.571
   14   27.745   27.741   36.299    0.065    13.912   192.388
   15   26.648   26.644   36.332    0.069    14.906   192.885
   16   25.865   25.861   36.363    0.073    15.900   192.254
   17   25.413   25.409   36.384    0.077    16.893   188.598
   18   24.993   24.989   36.404    0.080    17.887   184.164
   19   24.658   24.654   36.428    0.084    18.881   177.744
   20   24.563   24.558   36.437    0.087    19.874   173.571
   21   24.551   24.546   36.442    0.090    20.868   173.322
   22   24.524   24.519   36.450    0.094    21.862   173.951
   23   24.493   24.488   36.456    0.097    22.855   172.857
   24   24.415   24.410   36.464    0.100    23.849   171.274
   25   24.313   24.308   36.471    0.104    24.843   168.275
   26   24.160   24.154   36.479    0.107    25.836   163.801
   27   23.956   23.950   36.487    0.110    26.830   160.725
   28   23.510   23.504   36.523    0.113    27.824   150.776
   29   23.422   23.416   36.536    0.116    28.817   138.334
   30   23.380   23.374   36.545    0.119    29.811   138.083
   31   23.304   23.298   36.557    0.122    30.804   135.829
   32   23.148   23.141   36.558    0.125    31.798   133.123
   33   22.999   22.993   36.556    0.128    32.792   132.499
   34   22.982   22.975   36.556    0.130    33.785   132.522
   35   22.999   22.992   36.574    0.133    34.779   132.685
   36   23.016   23.009   36.592    0.136    35.772   132.848
   37   23.033   23.025   36.609    0.139    36.766   133.010
   38   23.049   23.042   36.627    0.142    37.760   133.173
