 station cast   lat    long    jday   mo/da/yr   gmt
 121      1   24.404 -80.616   290    10/17/21  1824 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.036   29.036   36.219    0.005    0.994   195.179
    2   29.036   29.036   36.218    0.010    1.987   195.206
    3   29.036   29.036   36.218    0.015    2.981   195.233
    4   29.036   29.035   36.218    0.020    3.974   195.259
    5   29.036   29.035   36.218    0.024    4.968   195.146
    6   29.039   29.037   36.218    0.029    5.962   195.432
    7   29.026   29.024   36.217    0.034    6.955   195.652
    8   29.021   29.019   36.217    0.039    7.949   195.553
    9   29.017   29.015   36.217    0.044    8.942   195.288
   10   29.011   29.009   36.217    0.049    9.936   195.432
   11   29.008   29.005   36.217    0.054    10.929   195.568
   12   29.005   29.002   36.217    0.059    11.923   195.242
   13   29.001   28.998   36.217    0.064    12.917   195.221
   14   28.999   28.996   36.217    0.068    13.910   195.474
   15   28.997   28.994   36.217    0.073    14.904   195.365
   16   28.996   28.992   36.217    0.078    15.897   195.588
   17   28.995   28.991   36.217    0.083    16.891   195.849
   18   28.994   28.990   36.217    0.088    17.884   195.656
   19   28.994   28.989   36.217    0.093    18.878   195.564
   20   28.992   28.987   36.216    0.098    19.871   195.488
   21   28.991   28.986   36.217    0.103    20.865   195.037
   22   28.990   28.984   36.216    0.107    21.858   195.491
   23   28.988   28.983   36.216    0.112    22.852   195.737
   24   28.987   28.981   36.216    0.117    23.845   195.571
   25   28.986   28.980   36.216    0.122    24.839   195.716
   26   28.985   28.979   36.216    0.127    25.832   195.808
   27   28.984   28.977   36.216    0.132    26.826   195.646
   28   28.983   28.976   36.216    0.137    27.819   195.732
   29   28.981   28.974   36.216    0.142    28.813   195.799
   30   28.980   28.973   36.216    0.147    29.806   195.478
   31   28.979   28.971   36.216    0.151    30.800   195.494
   32   28.976   28.968   36.216    0.156    31.793   195.642
   33   28.963   28.955   36.217    0.161    32.787   195.831
   34   28.948   28.940   36.220    0.166    33.780   196.024
   35   28.942   28.934   36.225    0.171    34.773   196.252
   36   28.939   28.931   36.226    0.176    35.767   196.546
   37   28.936   28.927   36.226    0.181    36.760   196.602
   38   28.934   28.925   36.227    0.185    37.754   196.439
   39   28.930   28.920   36.227    0.190    38.747   196.446
   40   28.930   28.920   36.227    0.195    39.741   196.403
   41   28.930   28.920   36.228    0.200    40.734   196.438
   42   28.929   28.919   36.228    0.205    41.727   196.403
   43   28.926   28.916   36.228    0.210    42.721   196.636
   44   28.923   28.912   36.228    0.215    43.714   196.395
   45   28.918   28.908   36.227    0.220    44.708   196.200
   46   28.912   28.901   36.226    0.224    45.701   196.665
   47   28.905   28.894   36.224    0.229    46.694   196.488
   48   28.902   28.890   36.224    0.234    47.688   196.261
   49   28.902   28.890   36.226    0.239    48.681   196.092
   50   28.902   28.890   36.228    0.244    49.674   196.878
   51   28.900   28.888   36.228    0.249    50.668   196.799
   52   28.886   28.873   36.230    0.254    51.661   196.626
   53   28.834   28.821   36.234    0.258    52.655   197.713
   54   28.742   28.729   36.238    0.263    53.648   199.509
   55   28.615   28.602   36.242    0.268    54.641   202.216
   56   28.540   28.526   36.242    0.273    55.635   203.420
   57   28.502   28.489   36.241    0.277    56.628   203.466
   58   28.476   28.462   36.242    0.282    57.621   203.367
   59   28.423   28.409   36.244    0.287    58.615   203.052
   60   28.284   28.269   36.248    0.291    59.608   202.521
   61   28.191   28.176   36.256    0.296    60.601   202.118
   62   28.174   28.160   36.255    0.301    61.595   201.468
   63   28.161   28.146   36.262    0.305    62.588   201.021
   64   28.135   28.120   36.278    0.310    63.581   199.195
   65   28.114   28.099   36.283    0.314    64.575   195.898
   66   28.070   28.054   36.288    0.319    65.568   194.383
   67   28.033   28.018   36.293    0.324    66.561   194.817
   68   28.006   27.990   36.300    0.328    67.554   195.153
   69   27.981   27.965   36.310    0.333    68.548   194.906
   70   27.943   27.927   36.327    0.337    69.541   194.386
   71   27.891   27.874   36.331    0.342    70.534   193.605
   72   27.850   27.833   36.334    0.346    71.527   193.263
   73   27.806   27.788   36.334    0.350    72.521   192.990
   74   27.740   27.722   36.332    0.355    73.514   192.697
   75   27.682   27.664   36.334    0.359    74.507   191.672
   76   27.640   27.623   36.335    0.364    75.500   190.509
   77   27.595   27.577   36.336    0.368    76.494   189.849
   78   27.572   27.554   36.336    0.372    77.487   189.382
   79   27.556   27.538   36.338    0.377    78.480   189.093
   80   27.517   27.499   36.339    0.381    79.473   189.326
   81   27.478   27.459   36.349    0.385    80.467   189.272
   82   27.455   27.435   36.359    0.390    81.460   188.746
   83   27.373   27.354   36.372    0.394    82.453   187.856
   84   27.310   27.291   36.381    0.398    83.446   186.893
   85   27.270   27.250   36.389    0.403    84.439   186.148
