 station cast   lat    long    jday   mo/da/yr   gmt
   6      1   26.995 -79.996   258    09/15/21  0340 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.862   29.861   35.501    0.006    0.993   193.281
    2   29.862   29.861   35.501    0.011    1.987   193.307
    3   29.862   29.861   35.501    0.017    2.980   193.334
    4   29.862   29.861   35.501    0.023    3.974   193.360
    5   29.862   29.860   35.500    0.028    4.967   193.386
    6   29.862   29.860   35.500    0.034    5.960   193.287
    7   29.863   29.861   35.501    0.040    6.954   193.799
    8   29.863   29.861   35.501    0.045    7.947   193.628
    9   29.860   29.857   35.501    0.051    8.941   193.394
   10   29.861   29.858   35.501    0.057    9.934   193.231
   11   29.861   29.858   35.500    0.062    10.927   193.641
   12   29.859   29.856   35.500    0.068    11.921   193.499
   13   29.857   29.854   35.500    0.074    12.914   193.488
   14   29.858   29.855   35.500    0.079    13.907   193.743
   15   29.857   29.853   35.500    0.085    14.901   193.588
   16   29.858   29.854   35.500    0.091    15.894   193.588
   17   29.859   29.855   35.500    0.096    16.888   193.751
   18   29.859   29.855   35.500    0.102    17.881   193.832
   19   29.858   29.854   35.500    0.108    18.874   193.602
   20   29.857   29.852   35.500    0.113    19.868   193.846
   21   29.858   29.852   35.500    0.119    20.861   193.982
   22   29.858   29.852   35.500    0.125    21.854   193.799
   23   29.857   29.851   35.500    0.130    22.848   193.407
   24   29.857   29.851   35.501    0.136    23.841   193.848
   25   29.856   29.849   35.502    0.142    24.834   194.198
   26   29.852   29.846   35.504    0.148    25.827   194.077
   27   29.761   29.754   35.543    0.153    26.821   193.618
   28   29.545   29.538   35.611    0.159    27.814   194.329
   29   29.206   29.199   35.690    0.164    28.807   196.077
   30   28.805   28.797   35.748    0.169    29.801   196.731
   31   28.484   28.477   35.781    0.174    30.794   195.516
   32   27.595   27.588   35.855    0.179    31.787   193.940
   33   27.048   27.041   35.890    0.183    32.780   192.332
   34   26.082   26.075   35.964    0.188    33.774   191.043
   35   25.723   25.716   35.990    0.192    34.767   189.198
   36   25.269   25.261   36.007    0.195    35.760   188.669
   37   24.870   24.862   36.016    0.199    36.753   187.389
   38   24.389   24.381   36.035    0.203    37.747   184.627
   39   24.019   24.010   36.048    0.206    38.740   181.930
   40   23.720   23.712   36.056    0.210    39.733   179.676
   41   23.425   23.416   36.070    0.213    40.726   179.077
   42   23.278   23.269   36.076    0.216    41.720   178.305
   43   23.165   23.156   36.082    0.220    42.713   177.802
   44   23.057   23.048   36.089    0.223    43.706   177.554
   45   22.826   22.817   36.111    0.226    44.699   175.720
   46   22.594   22.585   36.133    0.229    45.692   173.871
   47   22.363   22.353   36.155    0.232    46.686   172.005
   48   22.131   22.122   36.176    0.235    47.679   170.123
   49   21.900   21.890   36.198    0.238    48.672   168.226
   50   21.668   21.658   36.220    0.240    49.665   166.311
   51   21.437   21.427   36.242    0.243    50.658   164.380
   52   21.205   21.195   36.264    0.246    51.652   162.433
   53   20.974   20.964   36.285    0.248    52.645   160.468
