 station cast   lat    long    jday   mo/da/yr   gmt
  20      1   29.407 -85.594   263    09/20/21  1924 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.128   28.128   33.327    0.007    0.993   202.390
    2   28.128   28.128   33.327    0.013    1.986   202.418
    3   28.128   28.128   33.327    0.020    2.980   202.446
    4   28.128   28.127   33.326    0.027    3.973   202.473
    5   28.123   28.122   33.332    0.033    4.966   202.360
    6   28.117   28.116   33.337    0.040    5.959   202.257
    7   28.112   28.110   33.342    0.047    6.953   202.182
    8   28.103   28.101   33.361    0.053    7.946   201.680
    9   28.117   28.115   33.378    0.060    8.939   202.024
   10   28.145   28.143   33.405    0.067    9.932   202.167
   11   28.211   28.209   33.478    0.073    10.925   202.033
   12   28.246   28.243   33.538    0.080    11.919   201.423
   13   28.335   28.332   33.638    0.086    12.912   199.657
   14   28.441   28.437   33.761    0.093    13.905   197.567
   15   28.534   28.530   33.896    0.099    14.898   191.567
   16   28.625   28.621   34.065    0.106    15.891   187.713
   17   28.712   28.708   34.213    0.112    16.884   178.603
   18   28.731   28.727   34.258    0.118    17.878   176.680
   19   28.756   28.751   34.355    0.124    18.871   174.511
   20   28.778   28.773   34.480    0.130    19.864   170.451
   21   28.779   28.774   34.569    0.136    20.857   166.197
   22   29.005   28.999   34.752    0.142    21.850   165.591
   23   29.230   29.224   34.934    0.148    22.843   164.989
