 station cast   lat    long    jday   mo/da/yr   gmt
 128      1   27.034 -82.615   292    10/19/21  1031 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.177   28.177   35.680    0.005    0.993   186.249
    2   28.177   28.177   35.680    0.010    1.987   186.274
    3   28.180   28.179   35.680    0.015    2.980   186.291
    4   28.182   28.181   35.679    0.020    3.974   186.376
    5   28.185   28.183   35.679    0.025    4.967   186.384
    6   28.185   28.183   35.679    0.030    5.960   186.442
    7   28.184   28.183   35.679    0.035    6.954   186.323
    8   28.183   28.181   35.679    0.040    7.947   186.476
    9   28.181   28.178   35.680    0.045    8.941   186.346
   10   28.182   28.179   35.679    0.050    9.934   186.402
   11   28.184   28.181   35.679    0.055    10.927   186.384
