latitude,longitude,mean_percent_replaceable,sample_size,sd_replaceable,low_oxy_depth,low_oxy_depth_prop,mean_max_depth,number_replacements,sd_num,site_samples,lb,num_lb,min_pct_replaceable,max_pct_replaceable,number_of_stations
18,-94,0.2,5,0,40,0.7407407407407407,54,1,0,5,20,1,0.2,0.2,1
20,-94,0.32352941176470584,34,0.08349657214468659,250,0.13283740701381508,1863.2058823529412,2.823529411764706,0.8337788470424283,8.764705882352942,22.22222222222222,2,0.2222222222222222,0.4444444444444444,4
22,-98,0.25,20,0.1025978352085154,240,5.333333333333333,126.25,1.8,1.1516578439248717,6.3,0,0,0,0.3333333333333333,4
22,-96,0.2,25,0.06338656910463875,150,0.04968532626697582,2914.44,1.68,0.4760952285695233,8.52,12.5,1,0.125,0.2857142857142857,3
22,-92,0.3,20,0.0309344112444873,130,0.03951367781155015,1850,3,0,10.1,27.27272727272727,3,0.2727272727272727,0.3333333333333333,2
22,-90,0.5333333333333333,15,0.1951800145897066,133,1,96.8,4.266666666666667,2.250925735484551,7.133333333333334,28.000000000000007,1.4000000000000004,0,0.6666666666666666,3
22,-88,0.16666666666666666,6,0.12909944487358055,40,1,29.833333333333332,0.6666666666666666,0.5163977794943222,3,0,0,0,0.25,3
22,-86,0.453125,64,0.17212573187555702,30,0.2,272.5625,3.515625,1.3092126253640768,7.78125,25,1,0,0.8333333333333334,10
24,-94,0.125,8,0,125,0.10416666666666667,1200,1,0,8,12.5,1,0.125,0.125,1
24,-90,0.3,10,0,150,0.75,200,3,0,10,30,3,0.3,0.3,1
24,-88,0.2857142857142857,35,0.059565811511529634,125,0.23946360153256704,1110.6,2.8,1.079215401276752,9.457142857142857,20,1,0.2,0.3333333333333333,4
24,-86,0.42857142857142855,14,0,800,0.6498781478472786,1231,6,0,14,42.857142857142854,6,0.42857142857142855,0.42857142857142855,1
24,-82,0,2,0,20,1,20,0,0,2,0,0,0,0,1
24,-80,0.4074074074074074,27,0.0286197190602619,100,0.6289308176100629,156.7037037037037,3.7037037037037037,0.4653216269680752,9.074074074074074,37.5,3,0.375,0.4444444444444444,3
26,-96,0.38636363636363635,44,0.1747006567640999,140,0.1629802095459837,805.6818181818181,3,1.1613945106217463,7.7272727272727275,20,1,0,1,7
26,-94,0.2647058823529412,34,0.1062880290563078,225,0.07415952537903757,1960.4705882352941,2.264705882352941,0.8278787617802341,8.647058823529411,12.5,1,0.125,0.42857142857142855,4
26,-88,0.3157894736842105,19,0.12539735414374104,800,0.3076923076923077,2942,2.9473684210526314,1.025978352085154,9.526315789473685,20,2,0.2,0.4444444444444444,2
