stnnbr,oxygen,ctdoxy,latitude,longitude,ctdtmp,ctdsal,ctdprs,date,cruise
1,73.26704656185724,73.987,47.1235,-126.085,1.7968,34.6188,2244.197,2012-09-05T00:00:00Z,WCOA 2012
1,72.96284886054035,74.024,47.1235,-126.085,1.7969,34.6189,2243.244,2012-09-05T00:00:00Z,WCOA 2012
1,62.14420492288645,62.343,47.1235,-126.085,1.9362,34.5939,1999.135,2012-09-05T00:00:00Z,WCOA 2012
1,31.162568746721362,31.945,47.1235,-126.085,2.6048,34.5184,1502.123,2012-09-05T00:00:00Z,WCOA 2012
1,11.60645927759267,12.557,47.1235,-126.085,3.5526,34.4097,1000.271,2012-09-05T00:00:00Z,WCOA 2012
1,26.744472600593514,27.231,47.1235,-126.085,5.1636,34.1227,499.845,2012-09-05T00:00:00Z,WCOA 2012
1,54.76030324364701,53.838,47.1235,-126.085,6.1162,34.0284,299.791,2012-09-05T00:00:00Z,WCOA 2012
1,106.98273845367075,123.067,47.1235,-126.085,7.2935,33.8845,149.702,2012-09-05T00:00:00Z,WCOA 2012
1,137.71006028784063,131.344,47.1235,-126.085,7.4766,33.8072,123.335,2012-09-05T00:00:00Z,WCOA 2012
1,244.9489336356682,244.21,47.1235,-126.085,7.882,32.7966,50.604,2012-09-05T00:00:00Z,WCOA 2012
1,323.45568638121205,318.693,47.1235,-126.085,11.3749,32.492,20.608,2012-09-05T00:00:00Z,WCOA 2012
1,268.6445842950814,269.157,47.1235,-126.085,15.2219,32.1237,10.943,2012-09-05T00:00:00Z,WCOA 2012
1,266.98678266972627,268.817,47.1235,-126.085,15.2199,32.1237,2.285,2012-09-05T00:00:00Z,WCOA 2012
2,14.648873117196958,14.958,47.679,-125.5633,3.3903,34.4313,1111.251,2012-09-06T00:00:00Z,WCOA 2012
2,13.345806516582545,11.419,47.679,-125.5633,3.7594,34.3817,998.868,2012-09-06T00:00:00Z,WCOA 2012
2,11.260937298612628,11.414,47.679,-125.5633,4.4447,34.2698,748.447,2012-09-06T00:00:00Z,WCOA 2012
