raw_oxygen,ctdtmp,ctdprs,ctdsal,oxygen,ctdoxy,Station,latitude,longitude,cruise
10.4165,3.374,1012.5,34.384,15.1,16.7,1,51.458,-130.846,WCOA 2021
11.7045,3.886,760,34.248,16.5,18.8,1,51.457,-130.846,WCOA 2021
36.532,4.568,505.7,34.061,40.5,39,1,51.457,-130.846,WCOA 2021
118.556,5.972,253.6,33.873,119.8,119.2,1,51.457,-130.846,WCOA 2021
154.546,6.977,152.5,33.704,156,154.2,1,51.457,-130.846,WCOA 2021
165.356,7.267,126.2,33.536,166.1,168.5,1,51.457,-130.846,WCOA 2021
213.558,7.169,101.6,32.935,211.8,209.1,1,51.457,-130.846,WCOA 2021
253.582,7.323,81.9,32.535,247.4,250.5,1,51.457,-130.846,WCOA 2021
288.50649999999996,7.736,60.6,32.288,285.6,282.2,1,51.456,-130.846,WCOA 2021
287.21799999999996,7.867,51.2,32.213,284.3,288.3,1,51.456,-130.847,WCOA 2021
298.39649999999995,9.022,41,32.151,295.4,296.2,1,51.456,-130.847,WCOA 2021
299.952,10.343,31.3,32.078,297,301.7,1,51.456,-130.847,WCOA 2021
296.424,11.781,20.5,31.955,295,297.2,1,51.456,-130.847,WCOA 2021
291.504,12.62,11.1,31.947,288.2,286.2,1,51.456,-130.847,WCOA 2021
288.3805,13.192,6,31.952,287.1,282.4,1,51.456,-130.847,WCOA 2021
16.662,4.062,886.4,34.242,19.7,21.5,2,51.711,-130.642,WCOA 2021
19.0415,4.219,752.5,34.207,23,24.5,2,51.711,-130.642,WCOA 2021
45.229,4.9,503,34.053,48,48.3,2,51.712,-130.644,WCOA 2021
61.91,5.219,403.4,33.986,65.3,62.8,2,51.713,-130.644,WCOA 2021
82.476,5.625,301.7,33.902,83.9,83.8,2,51.713,-130.644,WCOA 2021
103.2325,6.001,200.2,33.832,104.3,104.8,2,51.714,-130.645,WCOA 2021
130.9115,6.28,149.6,33.525,131.8,130.8,2,51.714,-130.645,WCOA 2021
149.48700000000002,6.535,124.7,33.268,150.4,150.6,2,51.714,-130.645,WCOA 2021
153.382,6.586,100.7,33.227,152.8,154.6,2,51.714,-130.645,WCOA 2021
167.462,6.829,81,33.071,169.2,172.6,2,51.715,-130.645,WCOA 2021
183.8425,7.072,60.7,32.945,181.8,182.6,2,51.715,-130.645,WCOA 2021
215.08100000000002,7.617,50.6,32.666,210.8,213.1,2,51.715,-130.645,WCOA 2021
216.2375,7.655,40.3,32.646,214.4,218.8,2,51.715,-130.645,WCOA 2021
217.615,7.703,31.2,32.625,217.1,221.5,2,51.715,-130.645,WCOA 2021
243.6295,8.627,20.8,32.324,233.7,246.5,2,51.715,-130.645,WCOA 2021
256.3895,8.963,14.8,32.216,254.9,253.7,2,51.716,-130.645,WCOA 2021
268.96299999999997,9.452,10.6,32.103,265.7,259.6,2,51.716,-130.644,WCOA 2021
269.74350000000004,9.872,3.7,32.044,274.3,261.5,2,51.716,-130.644,WCOA 2021
82.66149999999999,5.564,205.2,33.892,83,84.5,3,51.83,-130.374,WCOA 2021
137.351,6.476,125.5,33.413,138.3,138.2,3,51.83,-130.373,WCOA 2021
158.178,6.676,100.6,33.247,156.3,154.2,3,51.83,-130.373,WCOA 2021
189.8005,7.15,61.1,32.744,189.8,189.3,3,51.83,-130.373,WCOA 2021
200.98950000000002,7.409,50.4,32.525,197.5,198.2,3,51.83,-130.372,WCOA 2021
226.478,7.882,41.8,32.284,226.1,223,3,51.83,-130.372,WCOA 2021
237.961,8.228,30.8,32.144,234.5,246.3,3,51.83,-130.372,WCOA 2021
258.7785,8.595,21,32.144,253.9,254.9,3,51.83,-130.372,WCOA 2021
267.6345,8.692,15.4,32.137,260.7,260.7,3,51.83,-130.371,WCOA 2021
293.0725,10.175,10.9,31.767,287.3,282.2,3,51.83,-130.371,WCOA 2021
293.63599999999997,13.284,4.4,31.601,294.8,296.5,3,51.83,-130.371,WCOA 2021
264.9805,9.558,35.5,31.865,261.9,258,4,52.399,-129.051,WCOA 2021
303.2925,11.711,19.8,31.41,285.5,295.2,4,52.399,-129.051,WCOA 2021
310.90999999999997,12.86,10.2,30.403,304.9,306,4,52.398,-129.051,WCOA 2021
303.29200000000003,12.922,3.8,30.416,302.5,306.3,4,52.398,-129.052,WCOA 2021
93.79249999999999,5.701,150.8,33.819,97.1,96,5,52.249,-129.402,WCOA 2021
136.8415,6.433,135.5,33.454,134.3,134,5,52.249,-129.402,WCOA 2021
152.5285,6.621,125.5,33.272,150.3,149.4,5,52.249,-129.402,WCOA 2021
215.3305,7.197,99.8,32.629,212.3,209.9,5,52.249,-129.402,WCOA 2021
216.67849999999999,7.383,80.2,32.508,210.5,209.2,5,52.248,-129.402,WCOA 2021
251.8025,7.891,59.9,32.214,244.8,245,5,52.248,-129.402,WCOA 2021
252.45499999999998,8.073,49.4,32.169,249.4,248,5,52.248,-129.402,WCOA 2021
268.6505,8.716,40.5,32.021,262.6,268.9,5,52.248,-129.403,WCOA 2021
