Station,cruise,suggested_samples,max_depth,site_samples,percent_replaceable,mean_removable
1,ECOA 2022,5,95.464,8,0.375,3
1,GOMECC 2021,6,169,8,0.25,2
1,WCOA 2021,11,1012.5,15,0.26666666666666666,4
2,ECOA 2022,1,128.736,6,0.8333333333333334,5
2,GOMECC 2021,3,508,8,0.625,5
2,WCOA 2021,14,886.4,18,0.2222222222222222,4
3,ECOA 2022,5,81.615,6,0.16666666666666666,1
3,GOMECC 2021,4,119,6,0.3333333333333333,2
3,WCOA 2021,7,205.2,11,0.36363636363636365,4
4,ECOA 2022,3,99.902,8,0.625,5
4,GOMECC 2021,5,149,9,0.4444444444444444,4
4,WCOA 2021,2,35.5,4,0.5,2
5,ECOA 2022,5,97.645,6,0.16666666666666666,1
5,GOMECC 2021,4,119,8,0.5,4
5,WCOA 2021,8,150.8,13,0.38461538461538464,5
6,ECOA 2022,5,80.894,5,0,0
6,GOMECC 2021,4,39,4,0,0
6,WCOA 2021,6,120.9,10,0.4,4
7,ECOA 2022,3,48.483,4,0.25,1
7,WCOA 2021,14,2503.6,16,0.125,2
8,ECOA 2022,3,85.336,6,0.5,3
8,GOMECC 2021,5,158,7,0.2857142857142857,2
8,WCOA 2021,13,1290,17,0.23529411764705882,4
9,ECOA 2022,5,95.071,6,0.16666666666666666,1
9,GOMECC 2021,8,3252,10,0.2,2
9,WCOA 2021,9,592.5,15,0.4,6
10,ECOA 2022,4,95.464,6,0.3333333333333333,2
10,GOMECC 2021,7,3287,7,0,0
10,WCOA 2021,4,114.6,10,0.6,6
11,ECOA 2022,0,190.881,1,1,1
11,GOMECC 2021,5,3314,7,0.2857142857142857,2
11,WCOA 2021,5,57.1,7,0.2857142857142857,2
12,ECOA 2022,4,55.819,5,0.2,1
12,GOMECC 2021,8,3323,9,0.1111111111111111,1
12,WCOA 2021,7,157.6,11,0.36363636363636365,4
13,ECOA 2022,3,30.319,4,0.25,1
13,GOMECC 2021,5,199,7,0.2857142857142857,2
13,WCOA 2021,2,133.4,11,0.8181818181818182,9
14,ECOA 2022,4,85.576,7,0.42857142857142855,3
14,GOMECC 2021,5,124,11,0.5454545454545454,6
14,WCOA 2021,3,102.9,10,0.7,7
15,ECOA 2022,3,95.976,6,0.5,3
15,GOMECC 2021,3,59,4,0.25,1
15,WCOA 2021,5,89.3,10,0.5,5
16,ECOA 2022,4,142.226,7,0.42857142857142855,3
16,WCOA 2021,4,44.3,5,0.2,1
17,ECOA 2022,4,120.853,6,0.3333333333333333,2
17,GOMECC 2021,1,13,1,0,0
17,WCOA 2021,9,172,13,0.3076923076923077,4
18,ECOA 2022,0,200.632,8,1,8
